oui,manufacturer
44:CB:AD,Xiaomi Communications Co Ltd
54:4E:F0,"Roku, Inc"
0C:80:2F,"Murata Manufacturing Co., Ltd."
58:87:85,Adtran Inc
EC:9E:EA,Xtra Technology LLC
10:65:19,"Shenzhen iComm Semiconductor CO.,LTD"
18:EB:D4,"Shenzhen Skyworth Digital Technology CO., Ltd"
E4:B7:31,"Hangzhou Advance IOT Connectivity System Co., Ltd."
FC:38:82,Infinix mobility limited
48:A4:8C,"Shanghai Zenchant Electornics Co.,LTD"
C4:DB:AD,Ring LLC
94:FF:7D,AltoBeam Inc.
00:4B:0D,"Huawei Device Co., Ltd."
E0:40:27,"Huawei Device Co., Ltd."
40:1C:D4,"Huawei Device Co., Ltd."
D4:7B:6B,"Shanghai Cygnus Semiconductor Co., Ltd."
00:02:71,"Zhone Technologies, Inc."
00:01:47,"Zhone Technologies, Inc."
D0:96:FB,"Zhone Technologies, Inc."
30:4F:75,"Zhone Technologies, Inc."
7C:C5:18,"vivo Mobile Communication Co., Ltd."
7C:7D:21,zte corporation
A8:9A:8C,zte corporation
F8:83:06,"Beijing Xiaomi Mobile Software Co., Ltd"
98:61:10,"Huawei Technologies Co.,Ltd"
F4:85:AE,Senbiosys SA
60:55:56,"Jiangxi Risound Electronics Co.,LTD"
AC:82:F0,"Apple, Inc."
0C:CC:5D,"Apple, Inc."
34:0E:22,"Apple, Inc."
68:4A:5F,"Apple, Inc."
E8:98:EE,"Apple, Inc."
34:28:65,Juniper Networks
D8:1D:13,Texas Instruments
10:5A:95,TP-Link Systems Inc.
F8:20:97,Aditya Infotech Ltd.
5C:7B:6C,"Tradit Co., Ltd"
A0:7E:16,EM Microelectronic
CC:5E:A5,Palo Alto Networks
14:75:E5,ELMAX Srl
E0:23:3B,IEEE Registration Authority
88:33:74,Askey Computer Corp
E4:56:CA,Fractal BMS
48:08:EB,IEEE Registration Authority
B8:FE:90,"Cisco Systems, Inc"
34:C3:FD,"Cisco Systems, Inc"
64:84:34,BEMER Int. AG
F0:44:D3,Silicon Laboratories
08:FD:58,"Huawei Technologies Co.,Ltd"
B4:43:89,"Huawei Technologies Co.,Ltd"
6C:47:25,"Rochester Network Supply, Inc."
80:49:BF,Taicang T&W Electronics
6C:D8:FB,Qorvo Utrecht B.V.
B0:97:E6,Fujian Fucan Wecon Co Ltd
B4:5C:B5,"Mellanox Technologies, Inc."
E8:F6:0A,Espressif Inc.
BC:89:F8,"GD Midea Air-Conditioning Equipment Co.,Ltd."
80:57:22,"Wuxi Sunning Smart Devices Co., Ltd"
F8:EF:B1,"Hangzhou Zhongxinghui Intelligent Technology Co., Ltd."
C0:2E:5F,Zyxel Communications Corporation
24:A1:0D,IEEE Registration Authority
00:27:13,"Universal Global Scientific Industrial., Ltd"
CC:52:AF,"Universal Global Scientific Industrial., Ltd"
FC:4D:D4,"Universal Global Scientific Industrial., Ltd"
08:3A:88,"Universal Global Scientific Industrial., Ltd"
F8:F2:F0,Chipsea Technologies (Shenzhen) Crop.
E4:2F:37,"Apple, Inc."
A4:93:AD,"Huawei Device Co., Ltd."
2C:3A:B1,"Huawei Device Co., Ltd."
20:F1:B2,Tuya Smart Inc.
A8:C0:50,"Quectel Wireless Solutions Co.,Ltd."
1C:C3:AB,Espressif Inc.
58:04:4F,TP-Link Systems Inc.
B4:B8:53,"Honor Device Co., Ltd."
E0:4F:43,"Universal Global Scientific Industrial., Ltd"
08:3B:C1,"Hangzhou Hikvision Digital Technology Co.,Ltd."
64:BD:6D,"Apple, Inc."
E8:C3:86,"Apple, Inc."
2C:DC:AD,WNC Corporation
B8:B7:F1,WNC Corporation
44:E4:EE,WNC Corporation
2C:9F:FB,WNC Corporation
1C:D6:BE,WNC Corporation
70:61:BE,WNC Corporation
60:E6:F0,WNC Corporation
20:0D:3D,"Quectel Wireless Solutions Co., Ltd."
F4:2D:C9,Espressif Inc.
B0:CB:D8,Espressif Inc.
80:EA:23,WNC Corporation
48:A9:D2,WNC Corporation
BC:30:7D,WNC Corporation
BC:30:7E,WNC Corporation
00:1B:B1,WNC Corporation
E4:8E:C5,"Huawei Technologies Co.,Ltd"
4C:E6:5E,"Huawei Technologies Co.,Ltd"
A4:61:85,Tools for Humanity Corporation
8C:57:9B,WNC Corporation
7C:A2:36,Verizon Connect
88:A6:8D,"Shanghai MXCHIP Information Technology Co., Ltd."
D4:4F:14,"Tesla,Inc."
34:26:E6,Cig Shanghai Co Ltd
38:B8:00,WNC Corporation
40:1A:58,WNC Corporation
28:2E:89,WNC Corporation
38:8D:3D,WNC Corporation
8C:8B:5B,WNC Corporation
68:EF:A8,AutomationDirect.com
C0:6E:3D,Shenzhen Tecno Technology
0C:74:74,"Fiberhome Telecommunication Technologies Co.,LTD"
94:27:0E,Intel Corporate
7C:01:3E,Gsd Viet Nam Technology Company Limited
10:83:21,"Yichip Microelectronics (Hangzhou) Co.,Ltd"
18:CC:88,"Hitachi Global Life Solutions, Inc."
54:96:CB,AMPAK Technology Inc.
90:41:B2,Ubiquiti Inc
D0:17:B7,Atios AG
F0:D3:2B,Juniper Networks
00:1E:D1,TKH Security B.V.
18:FD:00,Marelli
A4:C1:39,"Dongguan Huayin Electronic Technology Co., Ltd."
60:D8:77,"Phyplus Technology (Shanghai) Co., Ltd"
84:FC:14,Shenzhen Bilian Electronic Co.，Ltd
54:39:76,Groq
18:96:77,Annapurna labs
78:5F:A4,Ciena Corporation
98:11:CC,Ciena Corporation
90:FB:93,Renesas Design US Inc.
6C:A0:42,Silicon Laboratories
D8:3A:36,AltoBeam Inc.
F0:55:82,Arashi Vision Inc.
6C:76:F7,MainStreaming SpA
68:AB:A9,Sagemcom Broadband SAS
F0:BC:50,"Mellanox Technologies, Inc."
40:A4:4A,"Google, Inc."
0C:F2:F5,"Sichuan AI-Link Technology Co., Ltd."
D0:45:8D,"Shenzhen Skyworth Digital Technology CO., Ltd"
9C:24:10,"Bouffalo Lab (Nanjing) Co., Ltd."
94:18:65,Netgear
E0:46:EE,Netgear
00:18:4D,Netgear
00:1E:2A,Netgear
00:14:6C,Netgear
E0:91:F5,Netgear
74:44:01,Netgear
44:94:FC,Netgear
20:E5:2A,Netgear
B0:39:56,Netgear
3C:1A:CC,"Quectel Wireless Solutions Co.,Ltd."
38:FB:A0,Shenzhen Baseus Technology CoLtd
A4:B2:56,"Shenzhen Incar Technology Co., Ltd."
58:98:35,Vantiva Technologies Belgium
C4:EA:1D,Vantiva Technologies Belgium
A4:91:B1,Vantiva Technologies Belgium
D8:E3:74,Xiaomi Communications Co Ltd
D8:78:F0,Silicon Laboratories
D4:35:1D,Vantiva Technologies Belgium
60:3F:FB,Telink Micro LLC
00:7A:A4,FRITZ! Technology GmbH
20:B8:3D,"Unionman Technology Co.,Ltd"
AC:EA:70,ZUNDA Inc.
20:E1:5D,TP-Link Systems Inc.
1C:04:60,NXP Semiconductors Taiwan Ltd.
EC:5B:71,Inventec(Chongqing) Corporation
74:D0:82,"Hisense Visual Technology Co.,Ltd"
98:53:5F,"Huawei Technologies Co.,Ltd"
B0:FB:15,"Ezurio, LLC"
EC:C0:7A,"Ezurio, LLC"
2C:2F:F4,eero inc.
24:53:ED,Dell Inc.
A4:CF:03,"Realme Chongqing Mobile Telecommunications Corp.,Ltd."
FC:E6:C6,"China Mobile Group Device Co.,Ltd."
6C:3E:51,Mindray North America
14:18:26,Nokia
20:E5:9B,Panasonic Automotive Systems
0C:E7:09,Sentyron B.V
B0:82:E2,ASUSTek COMPUTER INC.
3C:49:FF,"Unionman Technology Co.,Ltd"
24:55:9A,"Apple, Inc."
4C:E6:50,"Apple, Inc."
EC:1A:C3,Ugreen Group Limited
E4:73:19,"Huawei Device Co., Ltd."
BC:BC:CA,"Huawei Device Co., Ltd."
A0:FD:D9,"Unionman Technology Co.,Ltd"
BC:2B:1E,"Cresyn Co., Ltd."
6C:68:A4,"Guangzhou V-Solution Telecommunication Technology Co.,Ltd."
A4:C0:B0,Drivenets
90:C9:52,"Durin, Inc"
DC:22:6F,"HangZhou Nano IC Technologies Co., Ltd"
0C:C7:63,eero inc.
98:A9:42,"Tozed Kangwei Tech Co., Ltd"
28:D6:EC,"Huawei Technologies Co.,Ltd"
AC:E0:11,"Huawei Technologies Co.,Ltd"
B8:64:68,"BBSakura Networks, Inc."
08:6A:0B,Cisco Meraki
C8:63:40,Cisco Meraki
34:F0:15,"Beijing Xiaomi Mobile Software Co., Ltd"
FC:26:8C,Signify B.V.
E8:3D:C1,Espressif Inc.
24:71:21,"Cisco Systems, Inc"
BC:AB:F5,"Cisco Systems, Inc"
B8:C9:24,"Cisco Systems, Inc"
A0:F2:62,Espressif Inc.
A0:58:66,Qorvo Utrecht B.V.
7C:6D:12,Microsoft Corporation
CC:C4:B2,"Shenzhen Trolink Technology Co.,LTD"
60:B4:A2,"Samsung Electronics Co.,Ltd"
14:0B:9E,"Samsung Electronics Co.,Ltd"
64:CE:0C,"Funshion Online Technologies Co.,Ltd"
88:13:C2,Tendyron Corporation
84:48:80,Amazon Technologies Inc.
00:12:4F,Chemelex LLC
F0:30:12,AUMOVIO Autonomous Mobility Germany GmbH
B4:DD:D0,AUMOVIO Hungary Kft.
30:F0:3A,UEI Electronics Private Ltd.
94:2D:3A,Prizor Viztech Limited
08:18:14,Hewlett Packard Enterprise
44:BD:C8,Xiaomi Communications Co Ltd
30:48:7D,Tuya Smart Inc.
D0:CD:BF,LG Electronics
94:EA:E7,Lynq Technologies
90:8A:80,"Cisco Systems, Inc"
00:B4:63,Ring LLC
A4:F0:1F,Canon Inc.
90:B9:F9,"Motorola Mobility LLC, a Lenovo Company"
04:6F:00,LG Electronics
5C:13:AC,"Apple, Inc."
0C:E5:A1,"Apple, Inc."
0C:A3:B2,"Apple, Inc."
24:2A:EA,"Apple, Inc."
98:E8:59,"Apple, Inc."
D8:3E:EB,AltoBeam Inc.
5C:48:79,"Huawei Technologies Co.,Ltd"
DC:57:5C,PR Electronics A/S
44:66:90,"Tp-Link Technologies Co.,Ltd."
38:47:12,"Luxottica Tristar (Dongguan) Optical Co.,Ltd"
64:B4:E8,"Shenzhen D-Robotics Co., Ltd."
54:6C:50,"Nanjing Qinheng Microelectronics Co., Ltd."
E4:85:FB,"Quectel Wireless Solutions Co.,Ltd."
B8:BA:66,Microsoft Corporation
28:AD:EA,Mallow SAS
60:65:F4,Chipsea Technologies (Shenzhen) Crop.
B0:7A:16,Roehn
58:9E:C6,Gigaset Technologies GmbH
B8:61:FC,Juniper Networks
E8:47:F3,upscale ai
40:68:F9,"Shenzhen SuperElectron Technology Co.,Ltd."
98:12:23,Tarmoc Network LTD
2C:F8:EC,"Quectel Wireless Solutions Co.,Ltd."
84:C6:65,Taicang T&W Electronics
6C:91:88,Nokia
08:3C:03,IEEE Registration Authority
00:09:D8,Telia Company AB
34:6F:3F,"Hon Hai Precision Industry Co.,LTD"
14:49:C5,"Huawei Device Co., Ltd."
B4:54:F2,"Huawei Device Co., Ltd."
68:F9:0F,Intel Corporate
D0:8E:17,Accton Technology Corporation
54:A0:AB,"Maiyue Future Intelligent Technology (Suzhou) Co.,Ltd."
80:C2:F0,"Xiamen Yeastar Digital Technology Co.,Ltd"
FC:66:37,Sagemcom Broadband SAS
E4:C8:01,BLU Products Inc
8C:69:14,Freebox Sas
24:64:77,"Beijing Xiaomi Mobile Software Co., Ltd"
7C:B4:0F,Fibocom Wireless Inc.
50:9F:B9,"Shenzhen Skyworth Digital Technology CO., Ltd"
DC:7E:F5,"Huawei Technologies Co.,Ltd"
8C:D0:66,Texas Instruments
44:63:C2,Zyxel Communications Corporation
34:20:D3,"Shenzhen Ip-Com Networks Co.,Ltd."
78:D3:66,"GuangZhou Dazzleview Intelligent Technology Co., Ltd"
64:6B:E7,"Qingdao Intelligent&Precise Electronics Co.,Ltd."
24:8A:B3,"ICTK Co., Ltd."
7C:62:E7,"Cisco Systems, Inc"
10:D8:B1,AUO Corporation
BC:00:23,"Honor Device Co., Ltd."
88:7C:C1,Zebronics India Pvt Ltd
3C:CB:01,"Beijing Lingji innovations Technology Co., LTD."
18:14:54,Cig Shanghai Co Ltd
9C:FA:96,"T3 Technology Co., Ltd."
E4:FE:E4,Ciena Corporation
80:B5:C6,OMRON Corporation
48:78:5B,"Hangzhou Hikvision Digital Technology Co.,Ltd."
60:7A:D8,"GD Midea Air-Conditioning Equipment Co.,Ltd."
F0:74:C1,Blink by Amazon
00:0B:7C,Electro-Voice Dynacord LLC
8C:4E:BB,Amazon Technologies Inc.
EC:31:5F,Amazon Technologies Inc.
70:96:84,"Apple, Inc."
CC:BE:61,"Apple, Inc."
B8:57:D6,"Cisco Systems, Inc"
E4:02:74,FW Murphy Production Controls
14:0A:02,Shenzhen Bilian Electronic Co.，Ltd
38:E1:58,"Flaircomm Microelectronics,Inc."
00:7F:1D,Fantasia Trading LLC
58:21:9D,"Shanghai Timar Integrated Circuit Co., LTD"
3C:7F:6E,Xiaomi Communications Co Ltd
90:64:9B,Espressif Inc.
40:79:55,Datacolor
00:07:8B,"Wegener Communications, Inc."
00:1A:2A,Arcadyan Corporation
5C:DC:96,Arcadyan Corporation
74:31:70,Arcadyan Corporation
D8:85:5E,zte corporation
C8:85:41,Espressif Inc.
18:83:BF,Arcadyan Corporation
1C:C6:3C,Arcadyan Corporation
88:25:2C,Arcadyan Corporation
E4:0A:75,Silicon Laboratories
EC:6F:F9,"Pioseed Technology(Chengdu)Co.,Ltd."
D8:5C:11,Optiview USA
B0:7A:A4,"Guangzhou Punp Electronics Manufacturing Co., Ltd."
50:61:88,PLANET Technology Corporation
18:DC:12,Silicon Laboratories
F8:E0:00,"Fuji Electric Co., Ltd."
8C:98:85,"Samsung Electronics Co.,Ltd"
F8:EC:FE,Owl Home Inc.
E0:E8:05,Sernet (Suzhou) Technologies Corporation
44:CE:1D,Nokia
D0:B6:46,NXP Semiconductors Taiwan Ltd.
54:73:5A,"Huawei Device Co., Ltd."
E8:C3:C5,"Huawei Device Co., Ltd."
C8:30:49,"Huawei Device Co., Ltd."
D4:2B:6F,"Cisco Systems, Inc"
AC:22:41,"Huawei Technologies Co.,Ltd"
D0:04:77,"Huawei Technologies Co.,Ltd"
D4:73:27,"Huawei Technologies Co.,Ltd"
34:22:CF,"AUMOVIO Systems, Inc."
D0:82:EB,Tuya Smart Inc.
3C:71:4B,Humax Networks
08:64:80,"Black Sesame Technologies Co., Ltd"
C0:BA:1F,"Xiamen Milesight IoT Co., Ltd."
44:BD:8D,Espressif Inc.
E0:95:59,Arcadyan Corporation
28:04:7A,WNC Corporation
B8:D0:8F,"Quectel Wireless Solutions Co.,Ltd."
F8:40:68,"SZ DJI Ronin Technology Co., Ltd."
24:BA:79,"New H3C Technologies Co., Ltd"
30:53:5B,"Shenzhen Comnect Technology Co.,LTD"
0C:02:5B,Microchip Technology Inc.
A8:75:4E,"Nexlawn Intelligent Technology (Suzhou) Co., Ltd."
58:92:04,zte corporation
48:09:51,"Guangzhou Trustmo Information System Co.,LTD"
74:E6:65,Dynabook Technology (Hangzhou) Inc.
64:79:99,Sagemcom Broadband SAS
EC:B2:93,Hewlett Packard Enterprise
A4:3C:D4,JBL Professional
FC:37:6D,Shenzhen Bilian Electronic Co.，Ltd
50:DA:9E,"Shen Zhen Tenda Technology Co.,Ltd"
3C:8B:6E,"Mellanox Technologies, Inc."
7C:4F:AD,Espressif Inc.
90:D7:33,"Huawei Technologies Co.,Ltd"
1C:5B:A2,Hp Globales Mexico
C4:96:9F,Amazon Technologies Inc.
34:4E:E2,"Huawei Device Co., Ltd."
7C:85:2F,"Huawei Device Co., Ltd."
78:96:6E,"Huawei Device Co., Ltd."
3C:38:1F,"Huawei Device Co., Ltd."
DC:87:F8,"Samsung Electronics Co.,Ltd"
4C:EC:EE,"Samsung Electronics Co.,Ltd"
28:72:C6,"Samsung Electronics Co.,Ltd"
84:19:85,"Samsung Electronics Co.,Ltd"
5C:17:15,ODrive Robotics
D8:CF:B1,BRIGHT TECHNOLOGIES INDIA PRIVATE LIMITED
0C:26:43,"Cisco Systems, Inc"
08:63:8A,"Cisco Systems, Inc"
C0:A4:CF,"Nintendo Co.,Ltd"
08:76:18,ViE Technologies Sdn. Bhd.
60:F7:23,"Beijing Xiaomi Mobile Software Co., Ltd"
B0:0C:9D,"Quectel Wireless Solutions Co.,Ltd."
F0:AB:1F,zte corporation
7C:B3:0A,zte corporation
B4:C7:99,Extreme Networks Headquarters
58:69:6C,"Ruijie Networks Co.,LTD"
90:B8:32,Extreme Networks Headquarters
9C:5D:12,Extreme Networks Headquarters
F0:9C:E9,Extreme Networks Headquarters
C8:67:5E,Extreme Networks Headquarters
C4:13:E2,Extreme Networks Headquarters
40:E3:17,Extreme Networks Headquarters
AC:4D:D9,Extreme Networks Headquarters
F4:CE:48,Extreme Networks Headquarters
00:DC:B2,Extreme Networks Headquarters
8C:83:94,Arcadyan Corporation
CC:14:BC,Edifier International
B0:10:4B,"Fiberhome Telecommunication Technologies Co.,LTD"
44:36:5D,"Shenzhen HippStor Technology Co., Ltd"
54:C0:78,Infinix mobility limited
E8:17:11,"Shenzhen Vipstech Co., Ltd"
20:0B:74,AzureWave Technology Inc.
F8:FE:5E,Intel Corporate
4C:62:DF,"Hangzhou Hikvision Digital Technology Co.,Ltd."
10:28:74,"Shenzhen Jingxun Technology Co., Ltd."
7C:73:98,Espressif Inc.
6C:B4:56,Espressif Inc.
E4:E2:6C,"Guangdong Oppo Mobile Telecommunications Corp.,Ltd"
88:F9:16,"Qingdao Dayu Dance Digital Technology Co.,Ltd"
38:C0:EA,"Fortinet, Inc."
D0:94:CF,"Huawei Technologies Co.,Ltd"
04:38:55,Scopus International Pvt. Ltd.
9C:49:52,"Dongguan Liesheng Electronic Co., Ltd."
C0:22:F1,IEEE Registration Authority
44:6D:05,NoTraffic
30:30:F9,Espressif Inc.
54:22:59,"Huawei Technologies Co.,Ltd"
04:14:71,"Huawei Technologies Co.,Ltd"
C8:16:A5,Masimo Corporation
18:C0:09,"New H3C Technologies Co., Ltd"
70:61:73,Calantec GmbH
C8:9D:6D,Itel Mobile Limited
EC:AB:3E,Essys
38:4A:80,"Samsung Electronics Co.,Ltd"
90:0E:9E,"Shenzhen SuperElectron Technology Co.,Ltd."
54:F2:9F,Hunan Fn-Link Technology Limited
C8:2E:18,Espressif Inc.
E8:6B:EA,Espressif Inc.
4C:A0:D4,"Telink Semiconductor (Shanghai) Co., Ltd."
A8:B4:83,"Shenzhen SuperElectron Technology Co.,Ltd."
68:55:D4,Seiko Epson Corporation
D4:22:CD,Movella Technologies B.V.
0C:65:9A,Panasonic Automotive Systems Company of America
00:40:9E,Concurrent Technologies Ltd.
28:8E:B9,"Wacom Co.,Ltd."
BC:24:11,Proxmox Server Solutions GmbH
DC:68:80,zte corporation
28:BB:ED,"Bouffalo Lab (Nanjing) Co., Ltd."
34:4E:2F,Lear
98:ED:CA,"Fiberhome Telecommunication Technologies Co.,LTD"
EC:B0:D2,EM Microelectronic
4C:EB:76,Murrelektronik GmbH
BC:8D:1F,"Cisco Systems, Inc"
88:A6:EF,IEEE Registration Authority
84:F5:EB,zte corporation
D8:E7:2F,Chipsea Technologies (Shenzhen) Corp.
74:C7:6E,"Rtk-Technologies, Llc"
C4:93:BB,"Beijing Xiaomi Mobile Software Co., Ltd"
E8:9C:25,ASUSTek COMPUTER INC.
EC:C3:8A,Accuenergy (CANADA) Inc
14:99:3E,Xiaomi Communications Co Ltd
78:46:7D,SKAIChips
EC:74:8C,Sony Interactive Entertainment Inc.
B0:4F:A6,DongGuan Ramaxel Memory Technology
4C:99:92,"vivo Mobile Communication Co., Ltd."
04:57:91,Shenzhenshi Xinzhongxin Technology Co.Ltd
54:DF:1B,Vestel Elektronik San ve Tic. A.S.
38:F9:F5,Garmin International
60:BD:2C,Taicang T&W Electronics
2C:4C:15,Juniper Networks
E4:10:88,"Samsung Electronics Co.,Ltd"
00:0C:C8,"Xytronix Research & Design, Inc."
14:C0:50,"Guangdong Genius Technology Co., Ltd."
44:1A:4C,"xFusion Digital Technologies Co.,Ltd."
4C:62:CD,Nokia
98:DA:92,Vuzix Corporation
9C:F8:6B,AgiTech Distribution Limited - Linki
10:71:FA,"Guangdong Oppo Mobile Telecommunications Corp.,Ltd"
78:46:5C,Cloud Network Technology Singapore Pte. Ltd.
D0:DD:7C,zte corporation
84:3C:99,zte corporation
F8:3B:1D,Vantiva USA LLC
E4:BF:FA,Vantiva USA LLC
1C:9D:72,Vantiva USA LLC
3C:82:C0,Vantiva USA LLC
80:DA:C2,Vantiva USA LLC
48:1B:40,Vantiva USA LLC
B8:5E:71,Vantiva USA LLC
40:0F:C1,Vantiva USA LLC
10:7B:93,"Zhen Shi Information Technology (Shanghai) Co., Ltd."
70:5A:9E,Vantiva USA LLC
68:E5:9E,"Cisco Systems, Inc"
F8:E5:CE,"Apple, Inc."
14:B7:F8,Vantiva USA LLC
10:62:D0,Vantiva USA LLC
10:C2:5A,Vantiva USA LLC
D0:8A:91,Vantiva USA LLC
88:F7:C7,Vantiva USA LLC
0C:02:27,Vantiva USA LLC
F4:C1:14,Vantiva USA LLC
74:97:8E,Nova Labs
08:23:C6,"Huawei Technologies Co.,Ltd"
70:36:B2,Focusai Corp
4C:D7:17,Dell Inc.
C8:7F:54,ASUSTek COMPUTER INC.
1C:C9:92,"Honor Device Co., Ltd."
08:D1:F9,Espressif Inc.
34:B7:DA,Espressif Inc.
00:C7:11,Itel Mobile Limited
34:8D:52,"Sichuan Tianyi Comheart Telecom Co.,LTD"
1C:86:0B,"Guangdong Taiying Technology Co.,Ltd"
74:D7:13,Huaqin Technology Co. LTD
2C:C3:E6,Shenzhen Bilian Electronic Co.，Ltd
F0:20:FF,Intel Corporate
C8:8A:9A,Intel Corporate
90:83:7E,"Fiberhome Telecommunication Technologies Co.,LTD"
CC:B0:71,"Fiberhome Telecommunication Technologies Co.,LTD"
48:55:41,Iskratel d.o.o.
F0:90:08,"Shenzhen Skyworth Digital Technology CO., Ltd"
C8:4C:78,zte corporation
80:2D:1A,zte corporation
68:23:F4,"Shenzhen Jinlangxin Technology Co., Ltd"
A0:B3:39,Intel Corporate
6C:F6:DA,Intel Corporate
C8:6B:BC,IEEE Registration Authority
30:60:0A,Cig Shanghai Co Ltd
30:2F:1E,Siemens Ag
FC:B2:D6,Cig Shanghai Co Ltd
60:FC:F1,Private
54:76:B2,"Raisecom Technology CO., LTD"
60:74:F4,Private
A0:37:68,"Shenzhen E-Life Intelligence Technology Co.,Ltd."
44:FA:66,Cloud Network Technology Singapore Pte. Ltd.
84:7A:DF,"Fujian Star-Net Communication Co.,Ltd"
68:13:F3,Amazon Technologies Inc.
80:6D:97,Private
28:EB:0A,Rolling Wireless S.a.r.l. Luxembourg
84:8A:59,"Hisilicon Technologies Co., Ltd"
DC:CD:66,NXP Semiconductor (Tianjin) LTD.
B0:FF:72,IEEE Registration Authority
64:9A:63,Ring LLC
10:28:34,SALZ Automation GmbH
4C:70:CC,Blyott NV
58:68:61,"Viasat, Incorporated"
14:C9:CF,Sigmastar Technology Ltd.
14:85:54,Earda Technologies co Ltd
60:C0:1E,"V&G Information System Co.,Ltd"
2C:3C:05,Marinesync Corp
00:08:B9,"Kaon Group Co., Ltd."
98:CC:F3,Amazon Technologies Inc.
F0:21:78,"Unionman Technology Co.,Ltd"
2C:3E:BF,"HOSIN Global Electronics Co., Ltd."
40:D5:63,HANA Electronics
34:88:18,"Cisco Systems, Inc"
00:50:01,Yamashita Systems Corp.
6C:EE:F7,"shenzhen scodeno technology co., Ltd."
B4:40:DC,"Samsung Electronics Co.,Ltd"
3C:33:32,D-Link Corporation
64:17:CD,"Samsung Electronics Co.,Ltd"
DC:69:E2,"Samsung Electronics Co.,Ltd"
C0:50:64,"Shennan Circuits Co.,Ltd"
9C:FB:77,"Guangdong Oppo Mobile Telecommunications Corp.,Ltd"
64:3E:0A,"Huawei Technologies Co.,Ltd"
14:33:75,Zyxel Communications Corporation
2C:FE:E2,"Qingdao Hisense Communications Co.,Ltd."
00:14:57,Nevion
C4:D6:66,Cisco Meraki
18:DE:50,Tuya Smart Inc.
94:79:18,Itel Mobile Limited
68:F0:B5,"Honor Device Co., Ltd."
10:18:49,"Weifang Goertek Electronics Co.,Ltd"
08:F9:E0,Espressif Inc.
00:36:D7,Keltron IOT Corp.
34:DC:99,"New H3C Technologies Co., Ltd"
5C:E8:D3,"Signalinks Communication Technology Co., Ltd"
44:05:3F,Sagemcom Broadband SAS
80:80:2C,"Fortinet, Inc."
48:31:B7,Espressif Inc.
54:32:04,Espressif Inc.
CC:B5:4C,Texas Instruments
74:A5:8C,Texas Instruments
3C:E0:02,Texas Instruments
40:2A:8F,"Shanghai High-Flying Electronics Technology Co., Ltd"
B0:38:93,Onda TLC Italia S.r.l.
28:C1:A0,"Apple, Inc."
EC:2C:73,"Apple, Inc."
7C:C0:6F,"Apple, Inc."
EC:81:50,"Apple, Inc."
D4:2F:CA,"Apple, Inc."
D0:58:A5,"Apple, Inc."
B0:97:38,"Shenzhen Skyworth Digital Technology CO., Ltd"
8C:DF:2C,"vivo Mobile Communication Co., Ltd."
F8:79:28,zte corporation
2C:67:AB,Ezelink Telecom
2C:D7:FF,LANCOM Systems GmbH
98:03:8A,Texas Instruments
F8:B8:B4,"Shenzhen Skyworth Digital Technology CO., Ltd"
68:1A:A4,"Shenzhen Skyworth Digital Technology CO., Ltd"
48:55:5E,"Shenzhen Skyworth Digital Technology CO., Ltd"
70:06:92,IEEE Registration Authority
1C:88:0C,"Shenzhen Skyworth Digital Technology CO., Ltd"
34:85:11,"Shenzhen Skyworth Digital Technology CO., Ltd"
94:3F:D6,"Apple, Inc."
38:B5:C9,Ingram Micro Services
98:4B:06,"Huawei Technologies Co.,Ltd"
AC:FF:6B,"Huawei Technologies Co.,Ltd"
84:4D:BE,"Fiberhome Telecommunication Technologies Co.,LTD"
38:AB:16,Npo Rtt Llc
44:A8:42,Dell Inc.
4C:76:25,Dell Inc.
00:11:43,Dell Inc.
00:13:72,Dell Inc.
00:18:8B,Dell Inc.
80:B9:46,Nokia
F8:CA:B8,Dell Inc.
F0:1F:AF,Dell Inc.
18:A9:9B,Dell Inc.
F8:BC:12,Dell Inc.
00:20:67,Private
AC:DE:48,Private
00:50:C7,Private
E8:65:5F,Dell Inc.
E8:B2:65,Dell Inc.
AC:91:A1,Dell Inc.
C4:CB:E1,Dell Inc.
38:14:28,Dell Inc.
F4:EE:08,Dell Inc.
90:8D:6E,Dell Inc.
EC:2A:72,Dell Inc.
74:86:E2,Dell Inc.
00:BE:43,Dell Inc.
60:5B:30,Dell Inc.
C8:4B:D6,Dell Inc.
B4:E1:0F,Dell Inc.
18:66:DA,Dell Inc.
18:DB:F2,Dell Inc.
14:B3:1F,Dell Inc.
10:7D:1A,Dell Inc.
50:9A:4C,Dell Inc.
24:71:52,Dell Inc.
8C:47:BE,Dell Inc.
60:18:95,Dell Inc.
B0:4F:13,Dell Inc.
40:5C:FD,Dell Inc.
D0:94:66,Dell Inc.
D8:9E:F3,Dell Inc.
10:65:30,Dell Inc.
3C:2C:30,Dell Inc.
88:6F:D4,Dell Inc.
5C:F9:DD,Dell Inc.
00:4E:01,Dell Inc.
00:08:74,Dell Inc.
00:24:E8,Dell Inc.
00:22:19,Dell Inc.
34:17:EB,Dell Inc.
B0:83:FE,Dell Inc.
94:CB:CD,zte corporation
80:5F:8E,"Huizhou BYD Electronic Co., Ltd."
A8:3A:79,"Mist Systems, Inc."
54:88:FE,"Xiaoniu network technology (Shanghai) Co., Ltd."
F4:D5:80,Yamaha Corporation
50:30:F4,"Exascend, Inc."
E4:90:69,Rockwell Automation
18:4C:08,Rockwell Automation
FC:35:E6,Visteon Corporation
